version,2.2.0
info,balls_per_over,6
info,team,Nepal
info,team,Hong Kong
info,gender,male
info,season,2023/24
info,date,2023/10/21
info,event,Nepal Tri-Nation T20I Series
info,match_number,3
info,venue,Mulpani Cricket Ground
info,city,Kathmandu
info,toss_winner,Nepal
info,toss_decision,bat
info,player_of_match,Kushal Malla
info,umpire,DN Subedi
info,umpire,Sanjay Gurung
info,reserve_umpire,VK Jha
info,match_referee,Muhammad Javed
info,winner,Nepal
info,winner_runs,79
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,Sompal Kami
info,player,Nepal,RK Paudel
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,S Jora
info,player,Nepal,Gulsan Jha
info,player,Nepal,Karan KC
info,player,Nepal,LN Rajbanshi
info,player,Nepal,Pratis GC
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,SS McKechnie
info,player,Hong Kong,Haroon Arshad
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Mohammad Ghazanfar
info,player,Hong Kong,A Shukla
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,DN Subedi,fb0a571f
info,registry,people,DS Airee,1747ea18
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,Haroon Arshad,be0f9ce9
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,M Coetzee,3f149080
info,registry,people,Mohammad Ghazanfar,00321fff
info,registry,people,Muhammad Javed,bde2d0ea
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Pratis GC,c1077ba3
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Jora,156378d8
info,registry,people,SS McKechnie,e6dd77bb
info,registry,people,Sanjay Gurung,0ef792dc
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,VK Jha,5d46eb72
info,registry,people,Zeeshan Ali,987187b9
